text,label
"Atenasko Akademia edo Platondar Akademia Platonek K.a. 388. urtean sortutako eskola filosofiko bat izan zen. Justiniako I.ak itxi zuen 529. urtean.  
Akademia honetan garatu zen teoria heliozentrikoa, eguzkia unibertsoaren erdian zegoela uste zuena.",txiki
"Atenasko Akademia edo Platondar Akademia (antzinako grezieraz: Ἀκαδήμεια) Platonek K.a. 388 inguruan sortutako eskola filosofiko bat izan zen, Akademoko lorategietan, eta Justiniano I.ak itxia 529. urtean. Ezagutzan ikertu eta sakontzen aritua, bertan egin zen garaiko lan matematiko guztia, eta teoria heliozentrikoa garatu zen. Unibertsitateen aurrekaritzat har daiteke.",wiki
"Autorretratua norbaitek bere buruari eginiko erretratua da.
Autorretratuak pinturan egiten dira batez ere; baina literaturan ere esan daiteke idazle batek egin dezakeela bere autoerretratua, hitzak erabiliz.",txiki
"Autorretratua edo autopotreta pertsona batek bere buruari eginiko erretratua da. Margolaritzan artistari bere buruari buruzko azterketa sakona egitea eskatzen dio genero honek. Zenbait garaitan, XVI eta XVII. mendean esaterako, oso ohikoa zen margolari ospetsuek haien autorretratua egitea, horrela haien egile maila finkatzeko. Dena dela, autorretratua ez da beti genero errealista. Literaturan ere egin daiteke, prosopografia eta etopeiatik gertu.",wiki
"Balleta dantza mota bat da, oso mugimendu fin eta dotoreetakoa.
Balleta gaztetandik ikastea komeni da, gorputzari oso mugimendu zailak eskatzen dizkiolako; gorputza zenbat eta malguagoa izan, zenbat eta elastikoagoa, orduan eta erraztasun handiagoa izango du dantzariak balleta egiteko.
Gorputzeko atal guztiak harmoniaz eta dotore mugitzen dira balletean.
Bereziak dira balleterako erabiltzen diren oinetakoak: punta gogorrekoak.",txiki
"Balleta dantza mota arautu bat da, Pizkunde garaian Italiako gorteetan sortua eta gerora Frantzian eta Errusian garatua. Dantzaren goi mailako forma tekniko bat da eta berezko hiztegia du. Eragin handia izan du dantza orokorrean eta ballet-eskoletan irakasten da mundu osoan.
Ballet-dantzaren obrak koreografiatuta egoten dira eta mimoa, antzerkia eta musika izaten dituzte.
Ballet klasikoa da gehien ezagutzen den mota, batez ere bere teknika da azpimarratzekoa, hala nola, pointe jarrera, zangoen mugimenduak",wiki
"Banpiroak fikziozko munstroak dira, gauez gizakien odola edatera ateratzen direnak. Beren letagin zorrotzak erabiltzen dituzte biktimaren eztarriari hozka egiteko. Kondairaren arabera, banpiro batek hozka egiten dion pertsona bat banpiro bihurtzen da bera ere.
Banpiroak film, liburu eta bestelako hedabide askotan agertzen dira. Mozorrotzeko ere erabiltzen dira inauterietan.
Banpiroak kriminalak edo hilobitik hil eta berpiztu diren beste pertsona txar batzuk direla esaten da. Gauez esnatzen dira elikatzeko, baina eguzkia atera baino lehen itzuli behar dute beren atseden lekura. Banpiro batek saguzar bihurtuta bidaiatu dezake.
Hainbat istorio kontatzen dira banpiroei buruz; adibidez, ez direla ispiluetan islatzen; ezin dutela jasan baratxuri usaina edo kristau gurutze bat ikustea; banpiroak hiltzeko modu bat bihotzean egurrezko taket zorrotz bat sartzea dela, edo banpiroaren atseden lekua suntsitzea.
Banpiroei buruzko sinesmena egon da Europa eta Asiako leku batzuetan. Banpiroei buruzko kontakizun 
asko Ekialdeko Europatik etorri ziren, Hungariatik bereziki.
Banpiroei buruzko ideia moderno gehienak Bram Stoker idazlearen Drakula (1897) eleberritik datoz. Pertsonaia nagusia, Drakula kondea da, Transilvaniako gaztelu beldurgarri batean bizi den banpiroa. Historiak Ekialdeko Europako herri-ipuinen elementuak ditu. Drakula kondearen pertsonaia, itxura batean, XV. mendeko Vlad izeneko printze krudel batengan izan dezake jatorria.
Drakulari buruzko lehen filma 1931n estreinatu zen. Geroztik, liburu eta film gehiagotan agertu dira banpiroak. Ezagunenen artean, idazle estatubatuar pare baten lanak daude: Anne RicerenVampire Chronicles eta Stephenie Meyerren Twilight saga daude.

Deutsch
English
Español
Français
Italiano",txiki
"Banpiroak bizidunon odolarekin elikatzen diren izaki mitologikoak edo folklorikoak dira. Batzuetan kontakizun folklorikoetan banpiro hilezkorrek beren senide izan zirenei bisitatzen die, eurak bizi ziren lekura itzuliz eta beren bizilagun-ohiei ezbeharrak edo heriotzak sorraraziz. Nahiz eta izaki hauek munduko kultura gehienetan aipatuak izan, Mendebaldeko Europan banpiro izendapena ez zen XVIII. mendera arte ezagun egin, batez ere Balkanetatik eta Ekialdeko Europatik ailegatutako eraginagatik. Halere, garai honetarako izakiok lekuan-lekuko izen ezberdinak jasotzen zituzten: vampir (вампир) Serbian, vrykolakas Grezian eta strigoi Errumanian. Banpiroenganako sineskeria mailaren areagotzeak Europako jendetzaren histeria mailaren areagotzea ere ekarri zuen berarekin bat, ondorio bezala hilberrien gorpuak taketez zulatu edo jendearen aurkako banpirokeria salaketen kasuak asko ugaritu ziren.
Aro Modernoan aldiz, banpiroa fikziozko izaki bat izan ohi da, nahiz eta oraindik munduko zenbait txokoetan banpiroen antzeko izakienganako sinesmena baden, adibidez chupacabra delakoa. Lehendabiziko banpiroenganako sinesmen folklorikoak hil berrien gorputzaren usteltze prozesuarekiko zegoen ezjakintasunean oinarritzen ziren, nolabait aurre-industrializazio garaiko jendeak heriotzaren misterioak arrazionalizatzeko azalpenean banpiroaren sorkuntza burutuko zuen. Porfiriaren gaixotasuna ere lotu izan ohi da banpiroen kondairekin eta oihartzun handia eman zitzaion komunikabideetan, nahiz eta lotura hau oso eztabaidatua izan den.
Fikzio modernoan agertzen den banpiro sofistikatu eta karismatikoa 1819. urtean John William Polidori idazlearen The Vampyre idazlanaren argitalpenarekin jaio zen; kontakizun honek arrakasta itzela jaso zuen eta XIX. mendeko ondorengo banpiroen inguruko idazlanetan eragin handia izango zuen. Sheridan Le Fanu idazlearen Carmila eleberria ere aipagarria da, bertan banpiro emakumezko bat agertzen delarik. Nola nahi ere, 1897ko Bram Stoker idazlearen Drakula pertsonaia izango zen nobeletako banpiroen erabateko funtsa eta banpiro modernoaren kondairari oinarri nagusiak eskaini zizkion. Liburu honen arrakastak XXI. mendean liburu, filma eta telebistako saioen bidez hain ospetsua den banpiroen genero berria ezarri zuen. Honela banpiroaren irudia beldurrezko generoaren irudi nagusia bilakatu da.",wiki
"Beningo Erresumako biztanleek arte mota ugari egiten zuten. Herrixketako eskulangileek eltze, arma eta erreminta sinpleak egiten zituzten. Zeremonietarako maskarak lantzen zituzten, eta jainkoen buztinezko eskulturak egiten zituzten.
Beningo hirian, eskulangileak gremio izeneko taldeetan zeuden antolatuta. Gremioen artean zeuden zurginak, marfil-langileak, larruginak, errementariak eta ehuleak. Denetan garrantzitsuena letoigileen gremioa zen. Obarentzat (erregearentzat) bakarrik egin zezaketen lan. 
Beningo artean pertsonak, animaliak eta jainkoak erakusten dira; gida zoragarria da Beningo erresumako bizitza eta erlijioa nolakoak ziren ulertzeko. Animalia batzuk, krokodiloak eta leopardoak esaterako, sarri ageri dira Beningo artean. Obaren boterea erakusteko sinbolotzat erabiltzen ziren.",txiki
"Beningo Erresuma, Edo Erresuma ere deitua, mendebaldeko Afrikako antzinako erresuma izan zen, 1180-1897 bitartean Gineako Golkoan hedatu zena, gaur egungo Nigeriaren hego-mendebaldean. Edo zuen hiriburu, egungo Benin City. Herrialde aberatsa izan zen, batez ere boli, piperbeltz, palma olio eta esklabuen trafikoari esker. Brontzezko eta bolizko irudiek eta behe-erliebeek ere famatu zuten Beningo Erresuma. 1897an, britaniarrek menderatu zuten.",wiki
"Pizkundea edo Errenazimentua Europaren historiako garai bat da, XV. eta XVI. mendeei dagokiena. Bi mende horietan, aldaketa handiak gertatu ziren pentsamenduan, zientzietan, ekonomian, artean, politikan eta baita erlijioan ere, eta aldaketa horiek bukaera ipini zioten Erdi Aroari. Errenazimenduak antzinateko zibilizazio grekolatinoaren ideia asko berreskuratu zituen, Europan zibilizazio berri bat eraikitzeko. Errenazimentua, beraz, antzinako Grezia eta Erromako ereduetan oinarritu zen, baina gizakiaren eta gizartearen eraldaketa sakona ekarri zuen, pentsamendu humanistari lotua.
Italia, eta, zehazkiago, Florentzia izan zen Errenazimentuaren sorlekua, XIV. mendean, eta laster zabaldu zen Alemaniara XV. mendean eta Europa osora XVI.ean. Errenazimentuak ekarritako aldaketarik garrantzitsuenetako batzuk honako hauek izan ziren:

Erregeen boterea sendotu egin zen: noblezia erregeen mende geratu zen.
Kapitalismoaren garapenerako baldintzak ipini ziren, merkataritzari eta diruaren zirkulazioari esker eta Amerikatik etengabe heltzen zen aberastasunari esker.
Europako erlijio-batasuna apurtu zen, Erreforma protestantearen ondorioz.
Pentsamolde humanista garatu zen: unibertsoaren erdigunea Jainkoa izan beharrean gizakia zela pentsatzen hasi zen.Errenazimentua Erdi Aroaren eta Aro Modernoaren arteko zubia izan zen. Garai hartan, oso denbora laburrean, hainbat aurkikuntza eta asmakuntza gertatu ziren, Mendebalde osoko gizartean eragin izugarria izan zutenak: kontinente berriak aurkitu eta esploratu ziren; Kopernikoren astronomia-sistema nagusitu zen; estatu-nazioak eratu ziren; sistema feudalak gainbehera egin zuen eta komertzioa asko hedatu zen; bestetik, garrantzi handiko berrikuntzak aplikatu edo asmatu ziren (papera, inprimatzeko makina, itsasorratza, bolbora...). 
Asmakuntzarik garrantzitsuenetako bat Gutenbergen inprimatzeko makina izan zen, 1453an asmatua. Makina horri esker, liburu asko eta oso erraz argitaratzeko aukera egon zen, eta horrek jakintza eta ideiak modu azkarrean zabaltzeko bidea ekarri zuen.
Garrantzi historiko handia izan zuen beste gertaera bat turkiarrak 1453an Konstantinoplaz jabetu izana da; izan ere, gertaera horren ondorioz, Europa eta Asia arteko merkataritza-bideak etenda geratu ziren, eta europarrek beste bide bat bilatu behar izan zuten Asiara iristeko. Horrek eraman zituen europarrak mundua esploratzera eta kontinente berriak (Amerika, adibidez) aurkitzera.",txiki
"Pizkundea edo Errenazimentua —zenbaitetan Berpizkundea edo Errenaisantza ere deitua— XV. eta XVI. mendeetako kultura mugimendua izan zen, Behe Erdi Aroan Florentzian hasi eta geroago Europan zehar hedatuz joan zena. Hitza orduko garai historikoa izendatzeko ere erabiltzen den arren, kontuan hartu behar da Pizkundeko aldaketak ez zirela Europa osoan batera gertatu. Pentsamendu humanistari oso loturik dagoen mugimendu kultural horren oinarria Antzinate klasikoaren iturrietara itzultzea izan zen.

Erdi Aroaren eta Aro Modernoaren arteko zubia izan zen. Izan ere, Erdi Aroaren amaiera eta Pizkundearen hasierako urteetan, oso denbora laburrean, Mendebaldeko gizartea oinarri-oinarritik inarrosi zuten aurkikuntzak eta asmakuntzak egin ziren, Europan eta inguruko herrietan ere. Jakintza klasikoa berpizteaz gainera, Errenazimentuan kontinente berriak aurkitu eta esploratu ziren, Kopernikoren astronomia sistemak hartu zuen Ptolomeorenaren lekua, estatu nazioak eratu ziren, sistema feudalak gainbehera egin zuen eta komertzioa asko hedatu zen, eta garrantzi handiko berrikuntzak aplikatu edo asmatu ziren (papera, inprimatzeko makina, itsasorratza, bolbora...). 
Nolanahi ere, garai hartako pentsalarientzat ikasketa eta jakintza klasikoen eraberritze garaia zen hura batez ere, kultura pobretu zen urte luzeen ondoren heldua. Horretan erabakiorrak izan ziren Bizantziotik, otomandarrengandik ihesi, iritsi ziren jakintsuak eta testuak, horien bidez ezagutu ahal izan baitziren klasikoak.",wiki
"Esfingea mitologiako izaki bat da, lehoi-gorputza eta giza burua dituena. Esfingeak antzinako Egipto eta antzinako Greziako eta beste zenbait herrialdetako kondaira edo elezaharretan eta artean azaltzen dira. 
Antzinako egiptoarrek esfingeen estatua handi ugari egin zituzten. Luxor hirian, adibidez, esfingez betetako kale bat dago. Egiptoko esfingerik handiena eta ospetsuena Gizako piramideetatik gertu eraiki zuten K.a. 2500 inguruan. Esfinge Handia deitzen da, eta egiptoar errege baten burua du. 
Antzinako greziarrak, berriz, K.a. 1600 inguruan hasi ziren esfingeak egiten. Haien esfingeek, ordea, hegoak zituzten. Handik aurrera, esfinge guztiak emeak izan ziren. Greziar mitologiako historia baten arabera, Tebaseko esfingeak asmakizun bat planteatu eta hura igarri ezin zuen jendea jan zuen. Honako hau galdetzen zuen: “Zein animalia ibiltzen da lau hankan goizean, bi hankan eguerdian eta hiru hankan gauean?"". Azkenean, Edipo izeneko greziar heroiak eman zuen erantzun zuzena: “pertsona bat”. (Izan ere, pertsona bat haurra denean lau oinean ibiltzen da, hazten denean, aldiz, bi hankan eta zahartzarora iristean, berriz, bastoi batez). Orduan, esfingeak bere burua hil zuen.",txiki
"Esfingea (antzinako grezieraz: Σφίγξ), oro har, giza burudun etzandako lehoi bat bezala irudikatzen den animalia mitologiko baten grezierazko izena da. Esfingeak, antzinako egiptoarrek asmatu zituzten, eta euren mitologia konplexuko zati ziren. Garrantzi kulturala ere izan zuten antzinako greziarren artean. Herodotok, Androesfinge deitzen du egiptoarra, gizon aurpegia zuena, greziarrak ez bezala, emakume itxura eta hegoak zituena. Krioesfinge deritzenak ere bazeuden, animalia burudunak, oro har ahari edo belatzenak. Antzinako egiptoarrek, Sheps-ankh deitu zituzten ""irudi bizia"" esan nahi duena.",wiki
"Eskulturagintza arte bisualen adar bat da. Eskulturak hiru dimentsio (luzera, zabalera eta garaiera) dituzten arte-objektuak dira. Eskultura baten diseinuan, garrantzi handia du forma nola erlazionatzen den espazioarekin; diseinuaren beste osagai garrantzitsu batzuk tamaina, testura, argi-itzalak eta kolorea dira, orobat. Eskulturak pertsona edo objektu baten itxura izan dezake, baita artistak asmatutako edozein forma ere.
Eskultura bat mukulu biribilekoa edo erliebeduna izan daiteke. Mukulu biribileko eskulturak beren kasa egoten dira zutik eta alde guztietatik ikus daitezke. Erliebeak, aldiz, ezin dira beren kasa zutik egoten, atzealde bati lotuta egoten baitira; horrexegatik ez daude atzetik ikusteko diseinatuta. Erliebeek eraikinen hormak apaintzen dituzte maiz.",txiki
"Eskulturagintza edo eskultura arte nagusien mota tradizionaletakoa da, hiru dimentsiotan egindako irudiak sortzen dituena gai gogorrak (harria, marmola, metala, beira, zura) edo bigunak erabiliz. Era honetan, arte plastikoetan ere sailkatuta dago.
Eskultura izena hartzen dute arlo honetan egindako irudiek, eta eskultore edo zizelkaria da esparru honetan lan egiten duen artista.
Bestela, arte agerpen publiko gehienak eskulturak dira.
Arte ederretako bat da, eta, horretan, eskultoreak bere burua adierazten du bolumenak sortuz eta espazioak osatuz. Eskulturan, zizel eta tailatzeko arte guztiak sartzen dira, baita galdaketakoak eta moldekatzekoak ere. Eskulturaren barruan, materialen eta bitartekoen konbinazio desberdinen erabilerak errepertorio artistiko berri bat sortu du, konstruktibismoa eta mihiztadura bezalako prozesuak barne hartzen dituena.
Giorgio Vasariren (1511-1574) Le vite de' piú eccellenti pittori, scultori e architettori lanaren hitzaurreak arkitektura, eskultura eta pinturaz hitz egiten du, diseinuaren arteak izenarekin multzokatutako diziplinez, alegia. Obra garai hartan erabilitako teknika artistikoei buruzko tratatu informatibo eta baliotsua da. Eskulturari dagokionez, honela hasten da:

Antzinatik, gizakiak zizelkatzeko beharra izan du. Hasieran, eskura zituen materialik sinpleenekin egin zuen: harria, buztina eta egurra. Ondoren, burdina, brontzea, urrea, beruna, argizaria, igeltsua, plastilina, poliesterrezko erretxina eta plastikoak erabili zituen besteak beste, beira-zuntza, hormigoia, zinetika eta argiaren islapenaz sendotuz. Eskulturak funtzio bakarra izan zuen hasieran: berehalako erabilera; ondoren, berriz, funtzio erritual, magiko, ehorzketa eta erlijiosoa gehitu zitzaizkion. Funtzionaltasun hori aldatuz joan zen bilakaera historikoarekin, batez ere estetika edo apaindura bereganatuz, eta elementu iraunkor edo iragankorra izatera iritsi zen.",wiki
"Fikzioa idazle edo autore batek bere irudimenetik ateratako kontakizuna da. Normalean, literaturarekin lotzen dugun zerbait da; baina ikusentzunezkoen munduan ere erabiltzen da: film gehienak fikziozkoak izaten dira, baina badira ez-fikziozkoak ere, dokumentalak, adibidez.
Fikziozko lan batean, autore edo egileak berak asmatzen du kontatzen duen istorioa. Normalean, narrazioari lotuta egoten da; izan ere, poesian ere erabiltzen du egileak bere irudimena, baina ez istorio bat kontatzeko.
Literaturaren barruan, fikziozko lanak bi eratakoak izaten dira:

Eleberri edo nobela: istorio luze eta konplexua kontatzen duena. Pertsonaia eta eszena asko izaten ditu eta atal desberdinak eduki ditzake; lehenagoko garaietan, askotan, eleberri baten atalak banaka argitaratzen ziren, eta bukaeran bakarrik kaleratzen ziren liburu moduan.
Ipuin edo narrazio laburra: kontakizun laburra, orri gutxikoa. Pertsonaia eta eszena gutxi izaten ditu eta ez du atalik izaten. Askotan, ipuin-bilduma moduan argitaratzen dira, ipuin-sorta bat biltzen duen liburu batean; baina solte ere argitaratzen dira, batzuetan, bestelako argitalpenetan, aldizkari edo egunkari batean, adibidez.
Français",txiki
"Fikzioa irudimenezko errealitate batean oinarritutako narrazio bat da, non fikziozko pertsonaiek hartzen duten parte. Fikziozko narrazioa ahots zein idatzizkoa eta literatura, antzerki nahiz zinemakoa izan daiteke. Hitza latinetik dator, fictus (""asmatutakoa""), fingiere aditzaren partizipioa.
Fikzioaren eta errealitatearen arteko bereizketaren ikerketa tradizioz literatur teoria eta filosofia eremuan garatu da. Hizkuntzalaritzan enuntziazioari arreta eskaini zaio, bestetik.",wiki
